objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll002,bark.jpg,,,Tree bark,Julia Flanders,2021,Tree bark,nature; tree,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll003,bee.jpg,,,Bee on flower,Julia Flanders,2022,Bee on flower,nature; insect; flower,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll004,butterfly.jpg,,,Butterfly on flower,Julia Flanders,2023,Butterfly on flower,nature; insect; flower,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll005,centaurea.jpg,,,Centaurea montana flower,Julia Flanders,2024,Centaurea montana flower,nature; flower; light,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll006,chihuly.jpg,,,Blown glass by Dale Chihuly,Julia Flanders,2025,Blown glass by Dale Chihuly,art; glass; light,"Providence, Rhode Island",41.823611,-71.422222,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll007,glory.jpg,,,Morning glory,Julia Flanders,2006,Morning glory,nature; flower; light,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll008,hydrangea.jpg,,,Hydrangea flowers,Julia Flanders,2006,Hydrangea flowers,nature; flower; tesselation,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll009,ice_leaf.jpg,,,Ice with embedded leaf,Julia Flanders,2007,Ice with embedded leaf,nature; ice; embedding,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll010,ice.jpg,,,Ice with large crystal structure,Julia Flanders,2007,Ice with large crystal structure,nature; ice,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll011,leaf_dew.jpg,,,Leaf with dewdrop,Julia Flanders,2007,Leaf with dewdrop,nature; water; light,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll012,lichen.jpg,,,Lichen on stone,Julia Flanders,2007,Lichen on stone,nature; stone; tesselation,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll013,plums.jpg,,,Plums,Julia Flanders,2010,Plums,art; fruit,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll014,pumpkin.jpg,,,Pumpkin,Julia Flanders,2011,Pumpkin,art; fruit; light,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll015,round_ice.jpg,,,Ice with bubble inclusions,Julia Flanders,2007,Ice with bubble inclusions,nature; ice; embedding,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll016,seaweed.jpg,,,Rockweed,Julia Flanders,2017,Rockweed,nature; tesselation,"Deer Isle, Maine",44.224722,-68.676944,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll017,swallowtail.jpg,,,Swallowtail butterfly,Julia Flanders,2007,Swallowtail butterfly,nature; insect; flower,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll018,tulip.jpg,,,Species tulip,Julia Flanders,2007,Species tulip,nature; flower; light,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll019,urchin.jpg,,,Sea urchin shell,Julia Flanders,2007,Sea urchin shell,nature; sea life,"Deer Isle, Maine",44.224722,-68.676944,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll020,wheat.jpg,,,Wheat in field,Julia Flanders,2007,Wheat in field,nature; light,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll021,wood_shell.jpg,,,Weathered wood with embedded shells,Julia Flanders,2007,Weathered wood with embedded shells,nature; wood; embedding; sea life,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
